,all_language_evaluate,train_evaluate_pair,language_pair,class,precision,recall,f1_score,support,acc
0,True,False,,0,0.9,0.96,0.93,2728.0,
1,True,False,,1,0.72,0.5,0.59,603.0,0.87
2,False,False,Assamese-Bengali,0,0.9,0.99,0.94,1397.0,
3,False,False,Assamese-Bengali,1,0.92,0.5,0.65,303.0,0.9
4,False,False,Bengali-Assamese,0,0.89,0.92,0.91,1331.0,
5,False,False,Bengali-Assamese,1,0.59,0.49,0.54,300.0,0.84
6,False,True,Assamese-Bengali,0,0.93,0.98,0.96,1397.0,
7,False,True,Assamese-Bengali,1,0.91,0.67,0.77,303.0,0.93
8,False,True,Bengali-Assamese,0,0.9,0.96,0.93,1331.0,
9,False,True,Bengali-Assamese,1,0.76,0.54,0.63,300.0,0.88
